Letter,Word,Video URL,Image URL
B,BICICLETA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bicicletaSm_Prog001.mp4,No Image Available
B,BICO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bico1Sm_Prog001.mp4,No Image Available
B,BIÊNIO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bienioSm_Prog001.mp4,No Image Available
B,BIFE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bifeSm_Prog001.mp4,No Image Available
B,BIGODE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bigodeSm_Prog001.mp4,No Image Available
B,BILHÃO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bilhaoSm_Prog001.mp4,No Image Available
B,BILHAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bilharSm_Prog001.mp4,No Image Available
B,BILHETE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bilheteSm_Prog001.mp4,No Image Available
B,BILINGÜISMO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bilinguismoSm_Prog001.mp4,No Image Available
B,BIMESTRE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bimestreSm_Prog001.mp4,No Image Available
B,BINGO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bingoSm_Prog001.mp4,No Image Available
B,BINÓCULOS,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/binoculosSm_Prog001.mp4,No Image Available
B,BIOLOGIA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/biologiaSm_Prog001.mp4,No Image Available
B,BIÓLOGO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/biologoSm_Prog001.mp4,No Image Available
B,BIQUÍNI,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/biquiniSm_Prog001.mp4,No Image Available
B,BISAVÓ,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bisavoSm_Prog001.mp4,No Image Available
B,BISBILHOTAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bisbolhotarSm_Prog001.mp4,No Image Available
B,BISCATE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/biscateSm_Prog001.mp4,No Image Available
B,BISCOITO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/biscoitoSm_Prog001.mp4,No Image Available
B,BISNAGA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bisnagaSm_Prog001.mp4,No Image Available
B,BISPO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bispo1Sm_Prog001.mp4,No Image Available
B,BISSEXUAL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bissexualSm_Prog001.mp4,No Image Available
B,BISTURI,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bisturiSm_Prog001.mp4,No Image Available
B,BLASFEMAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/blasfemarSm_Prog001.mp4,No Image Available
B,BLOCO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bloco1Sm_Prog001.mp4,No Image Available
B,BLOCO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bloco2Sm_Prog001.mp4,No Image Available
B,BLOQUEAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bloquearSm_Prog001.mp4,No Image Available
B,BLUSA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/blusaSm_Prog001.mp4,No Image Available
B,BOA VIDA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boa-vidaSm_Prog001.mp4,No Image Available
B,BOA1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boa1Sm_Prog001.mp4,No Image Available
B,BOA2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boa2Sm_Prog001.mp4,No Image Available
B,BOATE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boateSm_Prog001.mp4,No Image Available
B,BOBAGEM,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bobagemSm_Prog001.mp4,No Image Available
B,BÓBI DE CABELO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bobi%20de%20cabeloSm_Prog001.mp4,No Image Available
B,BOBO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bobo1Sm_Prog001.mp4,No Image Available
B,BOBO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bobo2Sm_Prog001.mp4,No Image Available
B,BOCA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bocaSm_Prog001.mp4,No Image Available
B,BOCEJAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bocejarSm_Prog001.mp4,No Image Available
B,BOCEJAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bochecharSm_Prog001.mp4,No Image Available
B,BOCHECHA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bochechaSm_Prog001.mp4,No Image Available
B,BODE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bodeSm_Prog001.mp4,No Image Available
B,BOFETADA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bofetadaSm_Prog001.mp4,No Image Available
B,BOI,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boiSm_Prog001.mp4,No Image Available
B,BÓIA1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boia1Sm_Prog001.mp4,No Image Available
B,BÓIA2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boia2Sm_Prog001.mp4,No Image Available
B,BÓIA3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boia3Sm_Prog001.mp4,No Image Available
B,BOIAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boiarSm_Prog001.mp4,No Image Available
B,BOINA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boinaSm_Prog001.mp4,No Image Available
B,BOLA1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bola1Sm_Prog001.mp4,No Image Available
B,BOLA2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bola2Sm_Prog001.mp4,No Image Available
B,BOLA3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bola3Sm_Prog001.mp4,No Image Available
B,BOLA4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bola4Sm_Prog001.mp4,No Image Available
B,BOLA5,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bola5Sm_Prog001.mp4,No Image Available
B,BOLACHA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bolachaSm_Prog001.mp4,No Image Available
B,BOLHA1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bolha1Sm_Prog001.mp4,No Image Available
B,BOLHA2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bolha2Sm_Prog001.mp4,No Image Available
B,BOLICHE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bolicheSm_Prog001.mp4,No Image Available
B,BOLÍVIA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boliviaSm_Prog001.mp4,No Image Available
