Letter,Word,Video URL,Image URL,Assuntos,Acepção,Exemplo,Exemplo Libras,Classe Gramatical,Origem
B,BOCEJAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bocejarSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg18a.jpg,NENHUM,"Abrir incontrolavelmente a boca, em um estado de rápido relaxamento.","Todos os dias eu fico bocejando, porque sempre durmo de madrugada.",TOD@-DIA EU BOCEJAR PORQUE SEMPRE DORMIR MADRUGADA.,VERBO,Nacional
B,BOCEJAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bochecharSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg,NENHUM,"Agitar com energia, na boca fechada, uma pequena quantidade de água ou qualquer outro líquido.",E bom bochechar com malva para limpar os dentes.,DENTE LIMPAR MALVA BOCHECHAR BOM.,VERBO,Nacional
B,BOCHECHA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bochechaSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg14.jpg,CORPO,Parte mais saliente de cada uma das faces.,O bebê tem bochechas gordas e fofinhas.,BEBÊ BOCHECHA-GORD@ FOF@diminuitiv@.,SUBSTANTIVO,Nacional
B,BODE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bodeSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg07.jpg,ANIMAL/INSETO/PEIXE/AVE,"Animal de médio porte, com chifre e barbicha; o macho da cabra.",No sítio dele tem muitos bodes.,BOI^CAMPO DEL@ MUIT@ BODE.,SUBSTANTIVO,Nacional
B,BOFETADA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bofetadaSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg,NENHUM,"Tapa no rosto, com a mão aberta.","Se ela mexer com meu namorado, dou-lhe uma bofetada.",S-I EL@ MEXER ME@ NAMORAD@ EU BOFETADA.,SUBSTANTIVO,Nacional
B,BOI,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boiSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg40.jpg,ANIMAL/INSETO/PEIXE/AVE,Animal mamífero de grande porte. Sua carne é bastante consumida no Brasil.,"Qual a carne mais gostosa, a de porco, boi ou frango?",MAIS GOSTOS@ CARNE PORCO OU BOI OU GALINHA QUAL?,SUBSTANTIVO,Nacional
B,BÓIA1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boia1Sm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg,ESPORTE/DIVERSÃO,"Peça de borracha inflável ou de material flutuante para usar no braço, dentro da água.","Quando a criança começa a nadar, é bom que use bóias de braço.",CRIANÇA COMEÇAR APRENDER NADAR BOM BOIA-BRAÇO.,SUBSTANTIVO,Nacional
B,BÓIA2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boia2Sm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg02.jpg,ESPORTE/DIVERSÃO,"Peça de borracha inflável ou de material que flutua, para usar na cintura, dentro d´água.",A criança que está aprendendo a nadar deve usar a bóia de cintura.,CRIANÇA APRENDER NADAR PRECISAR CINTURA-BÓIA,SUBSTANTIVO,Nacional
B,BÓIA3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boia3Sm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg50.jpg,NENHUM,"Peça de borracha inflável ou de material que flutua na água, para vestir como colete.",Nos navios é obrigatória a existência de bóias tipo colete.,OBRIGATÓRIO NAVIO TER COLETE-BÓIA.,SUBSTANTIVO,Nacional
B,BOIAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boiarSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg64.jpg,NENHUM,Flutuar na superfície da água.,Eu vi homem morto boiando na praia.,EU VER HOMEM MORTO BOIAR-PESSOA PRAIA.,VERBO,Nacional
B,BOINA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boinaSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg01.jpg,VESTUÁRIO/COMPLEMENTOS,"Espécie de boné arredondado, sem qualquer armação, costura ou pala, confeccionado em feltro ou lã.","Em Porto Alegre as pessoas têm costume de usar boina, por causa do frio.",PORTO-ALEGRE PESSOA COSTUME BOINA POR-CAUSA FRI@.,SUBSTANTIVO,Nacional
